case,doctrine,explanation
Verdugo-Urquidez,Baseline of substantial connection doctrine,"Fourth Amendment protections apply only to those with a substantial connection to the United States. U.S. agents searched the home of a non-citizen outside the U.S. with minimal voluntary ties to the country. Because he lacked a sufficient connection to the U.S. community, the Court held he was not protected by the Fourth Amendment."
Burdeau,Baseline of state action doctrine,"Fourth Amendment applies only to government action, not private searches. The evidence was obtained by private individuals and then turned over to authorities. Because there was no government involvement in the search, the Court held there was no constitutional violation and the evidence was admissible."
Skinner,Subcase of state action doctrine / Subcase of special needs doctrine,"Private conduct constitutes state action when the government compels or significantly encourages the search. Private railroad companies conducted drug and alcohol testing under federal regulations. Because the government strongly encouraged and structured the testing, the Court held it was state action subject to the Fourth Amendment."
T.L.O.,Subcase of state action doctrine / subcase of special needs doctrine,"The Fourth Amendment applies only to government actors, including public officials acting in their official capacity. A public school official searched a student’s purse and found evidence of wrongdoing. Because the official was acting as a government actor enforcing school rules, the Court held the Fourth Amendment applied."
Katz,Baseline of search doctrine,"A search occurs when the government violates a reasonable expectation of privacy. Police placed a listening device on the outside of a phone booth to record conversations. Because the defendant sought to keep his conversation private and society recognizes that expectation as reasonable, the Court held this was a search even without physical trespass."
Ciraolo,Subcase of search doctrine (Katz line),"There is no reasonable expectation of privacy in areas exposed to public view from lawful vantage points. Police flew over a fenced backyard at lawful altitude and observed marijuana plants. Because the observation was from public airspace where anyone could be, the Court held there was no search."
Florida v. Riley,Subcase of search doctrine (Katz line),"Observation from a lawful public vantage point does not violate a reasonable expectation of privacy. Police viewed the interior of a greenhouse from a helicopter in public airspace without a warrant. Because the observation was from a place the public could legally be, the Court held it was not a search."
Greenwood,Subcase of search doctrine (Katz line),"No reasonable expectation of privacy in trash left for collection in public. Police searched garbage left on the curb without a warrant. Because the trash was exposed to the public and accessible to others, the Court held it was not a “search” under the Fourth Amendment."
Kyllo,Subcase of search doctrine (Katz line),"Use of technology not in general public use to obtain details of the home is a search. Police used a thermal imaging device from outside the home to detect heat patterns indicating indoor marijuana growth. Because this revealed details about the interior that would otherwise be unknowable, the Court held it was a search requiring a warrant."
Knotts,Subcase of search doctrine (Katz line),"There is no reasonable expectation of privacy in movements on public roads. Police used a beeper to track a suspect’s movements on public roads without a warrant. Because the monitoring revealed only what could be observed by the public, the Court held there was no search."
Karo,Subcase of search doctrine (Katz line),"Monitoring that reveals information about the interior of a home constitutes a search. Police used a beeper to track a container into a private home without a warrant. Because this revealed information about the interior that could not otherwise be observed, the Court held it was a search requiring a warrant."
Jones,Baseline of search doctine,"A search occurs when the government physically trespasses on a constitutionally protected area to obtain information. Police installed a GPS device on a vehicle and tracked it over time without a valid warrant. Because this involved a physical intrusion onto private property to gather information, the Court held it was a search under the Fourth Amendment."
Mendenhall,Baseline of seizure doctrine,"A seizure occurs only if a reasonable person would not feel free to leave. DEA agents approached a traveler in an airport, asked questions, and requested ID without force or commands. Because a reasonable person would have felt free to leave, the Court held there was no seizure under the Fourth Amendment."
Hodari D.,Subcase of seizure doctrine,"A seizure requires physical force or submission to a show of authority. A suspect fled from police and discarded drugs while running, and was tackled shortly after. Because he had not submitted to police authority at the time he discarded the drugs, no seizure had yet occurred, so the Court held the evidence was admissible."
Bostick,Subcase of seizure doctrine,"A seizure occurs only if a reasonable person would not feel free to decline or terminate the encounter. Police boarded a bus and asked a passenger for consent to search his luggage without telling him he could refuse. Because the test focuses on whether a reasonable person would feel free to decline (even in a confined space), the Court held there was no seizure."
Gates,Baseline of probable cause doctrine,"Probable cause is determined by the totality of the circumstances, including informant reliability and corroboration. Police relied on an anonymous tip predicting detailed future behavior, which they corroborated before obtaining a warrant. Because the corroboration showed the tip’s reliability, the Court held there was probable cause."
